Parameter 1, Parameter 2, Parameter 3, Parameter 4, Parameter 5, Parameter 6, Parameter 7, Parameter 8, Objective 1, Objective 2,Purity,Recovery,Specific energy,Productivity, Cycles, Number
158.4031073,175.4865028,80.89455728,0.481841589,0.010182426,0.25291164,1.787517085,1.829043498,29.10140653,1.154201043,0.919080684,0.367650627,29.10140653,0.866400188,83,53292881
23.43761762,88.83193597,89.59247036,0.431890477,0.018759146,0.421902253,2.203524579,1.465219796,24.19786016,1.420742423,0.764165997,0.906553589,24.19786016,0.703857352,300,15607029
141.1984407,49.32527506,188.4379148,0.449465383,0.012299109,0.462809123,1.612588541,1.054866436,23.80366364,0.894770903,0.936493407,0.540322668,23.80366364,1.117604513,97,23173587
94.9627837,107.6132043,154.6062276,0.300400005,0.015312774,0.12124977,2.240127448,1.964230292,24.38791558,0.914281718,0.962704403,0.602295344,24.38791558,1.093754781,142,59864047
89.74041059,151.0297663,173.1209453,0.055781936,0.021563672,0.203721894,0.035119349,1.265965494,83.45676121,50.53943766,0.626843637,0.748523447,83.45676121,0.019786528,300,67051622
91.87618372,86.515042,57.16412067,0.102690568,0.021967499,0.312651842,2.451887821,1.463566219,29.26878699,1.090874891,0.999891704,0.356240546,29.26878699,0.916695405,160,77944694
84.82770168,182.4386012,123.5889771,0.331690185,0.0222832,0.128266557,1.128677523,1.592920657,18.73673514,1.468860362,0.918802928,0.803539662,18.73673514,0.680799908,243,26156423
160.2554959,95.78379247,30.34643022,0.444563999,0.023365533,0.495196528,0.113221959,0.548058856,23.91122942,4.994895206,0.517452446,0.931706784,23.91122942,0.2002044,300,87946548
159.3697857,46.74063771,163.6502954,0.101781399,0.016949918,0.401961991,2.009662447,1.967418849,31.61641959,1.160501482,0.999948966,0.301529078,31.61641959,0.861696444,92,79760438
128.5501096,142.9478847,94.40140512,0.393708907,0.011176525,0.157348032,0.306852111,0.246975663,19.95593234,2.858811027,0.729650724,0.939763338,19.95593234,0.349795768,300,35377947
58.98022783,75.25876168,122.9358426,0.183009946,0.024358919,0.219160741,1.368737058,1.020063311,18.766069,1.170654557,0.955465323,0.807260933,18.766069,0.85422296,213,55473178
111.4483908,96.90694976,61.96662593,0.278767455,0.018407946,0.100981597,1.384377326,1.706501915,21.32187048,0.941890581,0.954716765,0.552019988,21.32187048,1.061694448,152,34394926
100.5812822,129.1926367,169.296888,0.106041453,0.012163609,0.166679083,0.271093208,0.961901274,26.63861369,4.484725215,0.876613949,0.94009827,26.63861369,0.222979102,300,96639697
131.5263386,33.31517631,171.0708475,0.315885356,0.019686741,0.23936926,2.154365568,0.11022785,20.75093678,0.940049391,0.956151541,0.404733058,20.75093678,1.063773893,82,7897690
23.64655825,124.875865,39.7574131,0.341613725,0.015239321,0.282027606,1.737563887,0.880660593,23.68259414,1.544798681,0.78601783,0.889558018,23.68259414,0.647333541,300,51905982
115.0186343,191.1429786,23.56065557,0.44798517,0.0271677,0.237186125,1.469128102,1.90826689,22.35880495,1.631803435,0.875508936,0.349765966,22.35880495,0.612818909,116,72408269
132.8078261,179.1843101,24.88702284,0.267982048,0.02596018,0.203455909,2.09892782,1.232193693,29.90875559,1.642683047,0.943944186,0.23337963,29.90875559,0.608760163,54,69352069
116.6516765,164.6860399,34.20390894,0.26705707,0.01347863,0.211343838,0.153208898,0.734479504,28.84598912,5.470853996,0.627439071,0.943950423,28.84598912,0.182786819,300,78233276
